,frame,airspeed,groundspeed,amps,voltage,altitude,rise,elapsed
0,0,17,0,0.23,16.7,0.3.,0.1,0:00
1,1,17,0,0.23,16.7,0.3.,0.1,0:00
2,2,16,0,0.23,16.7,0.3.,0.1,0:00
3,3,16,0,0.23,16.7,0.3.,0.1,0:00
4,4,16,0,0.23,16.7,0.3.,0.1,0:00
5,5,16,0,0.23,16.7,0.3.,0.1,0:00
6,6,16,0,0.23,16.7,0.3.,0.1,0:00
7,7,16,0,0.23,16.7,0.3.,0.1,0:00
8,8,16,0,0.23,16.7,0.3.,0.1,0:00
9,9,16,0,0.23,16.7,0.3.,0.1,0:00
10,10,16,0,0.23,16.7,0.3.,0.1,0:00
11,11,16,0,0.23,16.7,0.3.,0.1,0:00
12,12,16,0,0.23,16.7,0.3.,0.1,0:00
13,13,17,0,0.23,16.7,0.3.,0.1,0:00
14,14,17,0,0.23,16.7,0.3.,0.1,0:00
15,15,17,0,0.23,16.7,0.3.,0.1,0:00
16,16,17,0,0.23,16.7,0.3.,0.1,0:00
17,17,17,0,0.23,16.7,0.3.,0.1,0:00
18,18,17,0,0.23,16.7,0.3.,0.1,0:00
19,19,17,0,0.23,16.7,0.3.,0.1,0:00
20,20,17,0,0.23,16.7,0.3.,0.1,0:00
21,21,17,0,0.23,16.7,0.3.,0.1,0:00
22,22,17,0,0.23,16.7,0.3.,0.1,0:00
23,23,19,0,0.23,16.7,0.3.,0.1,0:00
24,24,19,0,0.28,16.7,0.3.,0.1,0:00
25,25,19,0,0.28,16.7,0.3.,0.1,0:00
26,26,19,0,0.28,16.7,0.3.,0.1,0:00
27,27,19,0,0.28,16.7,0.3.,0.1,0:00
28,28,18,0,0.28,16.7,0.3.,0.1,0:00
29,29,18,0,0.28,16.7,0.3.,0.1,0:00
30,30,18,0,0.28,16.7,0.3.,0.1,0:00
31,31,18,0,0.28,16.7,0.3.,0.1,0:00
32,32,18,0,0.28,16.7,0.3.,0.1,0:00
33,33,18,0,0.28,16.7,0.3.,0.1,0:00
34,34,18,0,0.28,16.7,0.3.,0.1,0:00
35,35,18,0,0.33,16.7,0.3.,0.1,0:00
36,36,18,0,0.33,16.7,0.3.,0.1,0:00
37,37,18,0,0.33,16.7,0.3.,0.1,0:00
38,38,18,0,0.33,16.7,0.3.,0,0:00
39,39,18,0,0.33,16.7,0.3.,0,0:00
40,40,18,0,0.93,16.7,0.3.,0,0:00
41,41,18,0,0.33,16.7,0.3.,0,0:00
42,42,18,0,0.33,16.7,0.3.,0,0:00
43,43,18,0,0.33,16.7,0.3.,0,0:00
44,44,18,0,0.33,16.7,0.3.,0,0:00
45,45,18,0,0.28,16.7,0.3.,0,0:00
46,46,18,0,0.28,16.7,0.3.,0,0:00
47,47,18,0,0.28,16.7,0.3.,0,0:00
48,48,21,0,0.28,16.7,0.3.,0,0:00
49,49,21,0,0.28,16.7,0.3.,0,0:00
50,50,21,0,0.28,16.7,0.3.,0,0:00
51,51,21,0,0.28,16.7,0.3.,0,0:00
52,52,21,0,0.28,16.7,0.3.,0,0:00
53,53,21,0,0.28,16.7,0.3.,0,0:00
54,54,21,0,0.28,16.7,0.3.,0,0:00
55,55,21,0,0.33,16.7,0.3.,0,0:00
56,56,21,0,0.33,16.7,0.3.,0,0:00
57,57,21,0,0.33,16.7,0.3.,0,0:00
58,58,17,0,0.33,16.7,0.3.,0,0:00
59,59,17,0,0.33,16.7,0.3.,0,0:00
60,60,17,0,0.23,16.7,0.3.,0,0:00
61,61,17,0,0.23,16.7,0.3.,0,0:00
62,62,17,0,0.23,16.7,0.3.,0,0:00
63,63,17,0,0.23,16.7,0.3.,0,0:00
64,64,17,0,0.23,16.7,0.2.,0,0:00
65,65,17,0,0.23,16.7,0.2.,0,0:00
66,66,17,0,0.23,16.7,0.2.,0,0:00
67,67,17,0,0.23,16.7,0.2.,0,0:00
68,68,16,0,0.23,16.7,0.2.,0,0:00
69,69,16,0,0.23,16.7,0.2.,0,0:00
70,70,16,0,0.23,16.7,0.2.,0,0:00
71,71,16,0,0.23,16.7,0.2.,0,0:00
72,72,16,0,0.23,16.7,0.2.,0,0:00
73,73,16,0,0.23,16.7,0.2.,0,0:00
74,74,16,0,0.23,16.7,0.2.,0,0:00
75,75,16,0,0.23,16.7,0.2.,0,0:00
76,76,16,0,0.23,16.7,0.2.,0,0:00
77,77,16,0,0.23,16.7,0.2.,0,0:00
78,78,17,0,0.23,16.7,0.2.,0,0:00
79,79,17,0,0.23,16.7,0.2.,0,0:00
80,80,17,0,0.18,16.7,0.2.,0,0:00
81,81,17,0,0.18,16.7,0.2.,0,0:00
82,82,17,0,0.18,16.7,0.2.,0,100
83,83,17,0,0.18,16.7,0.2.,0,100
84,84,17,0,0.18,16.7,0.2.,0,100
85,85,17,0,0.18,16.7,0.2.,0,100
86,86,17,0,0.18,16.7,0.2.,0,0:00
87,87,17,0,0.18,16.7,0.2.,0,0:00
88,88,17,0,0.18,16.7,0.2.,0,0:00
89,89,16,0,0.18,16.7,0.2.,0,0:00
90,90,16,0,0.37,16.7,0.2.,0,0:00
91,91,16,0,0.37,16.7,0.2.,0,0:00
92,92,16,0,0.37,16.7,0.2.,0,0:00
93,93,16,0,0.37,16.7,0.2.,0,0:00
94,94,16,0,0.37,16.7,0.2.,0,0:00
95,95,16,0,0.37,16.7,0.2.,0,0:00
96,96,16,0,0.37,16.7,0.2.,0,0:00
97,97,16,0,0.37,16.7,0.2.,0,0:00
98,98,16,0,0.37,16.7,0.2,0,0:00
99,99,17,0,0.37,16.7,0.2,0,0:00
100,100,17,0,0.37,16.7,0.2,0,0:00
101,101,17,0,0.93,16.7,0.2,0,0:00
102,102,17,0,0.33,16.7,0.2,0,0:00
103,103,17,0,0.33,16.7,0.2,0,0:00
104,104,17,0,0.33,16.7,0.1,0,0:00
105,105,17,0,0.33,16.7,0.1,0,0:00
106,106,17,0,0.33,16.7,0.1,0,0:00
107,107,17,0,0.33,16.7,0.1,0,0:00
108,108,17,0,0.33,16.7,0.1,0,0:00
109,109,18,0,0.33,16.7,0.1,0,0:00
110,110,18,0,0.33,16.7,0.1,0,0:00
111,111,18,0,0.33,16.7,0.1,0,0:00
112,112,18,0,0.33,16.7,0.1,0,0:00
113,113,18,0,0.33,16.7,0.1,0,0:00
114,114,18,0,0.33,16.7,0.1,0,0:00
115,115,18,0,0.33,16.7,0.1.,0,0:00
116,116,18,0,0.33,16.7,0.1.,0,0:00
117,117,18,0,0.33,16.7,0.1.,0,0:00
118,118,18,0,0.33,16.7,0.1.,0,0:00
119,119,16,0,0.33,16.7,0.1.,0,0:00
120,120,16,0,0.33,16.7,0.1.,0,0:00
121,121,16,0,0.18,16.7,0.1.,0,0:00
122,122,16,0,0.18,16.7,0.1.,0,0:00
123,123,16,0,0.18,16.7,0.1,0,0:00
124,124,16,0,0.18,16.7,0.1.,0,0:00
125,125,14,0,0.18,16.7,0.19,0.1,0:00
126,126,14,0,0.18,16.7,0.19,0.1,0:00
127,127,14,0,0.18,16.7,0.1,0.1,0:00
128,128,14,0,0.18,16.7,0.1,0.1,0:00
129,129,14,0,0.18,16.7,0.1,0.1,0:00
130,130,14,0,0.18,16.7,0.1,0.1,0:00
131,131,14,0,0.29,16.7,0.1,0.1,0:00
132,132,14,0,0.23,16.7,0.1.,0.1,0:00
133,133,14,0,0.23,16.7,0.1.,0.1,0:00
134,134,14,0,0.23,16.7,0.1.,0.1,0:00
135,135,16,0,0.23,16.7,0.1.,-0.2,0:00
136,136,16,0,0.23,16.7,0.1.,-0.2,0:00
137,137,16,0,0.23,16.7,0.1.,-0.2,0:00
138,138,16,0,0.23,16.7,0.1.,-0.2,0:00
139,139,16,0,0.23,16.7,0.1.,-0.2,0:00
140,140,16,0,0.23,16.7,0.1.,-0.2,0:00
141,141,16,0,0.23,16.7,0.0.,-0.2,0:00
142,142,16,0,0.37,16.7,0.0.,-0.2,0:00
143,143,16,0,0.37,16.7,0.0.,-0.2,0:00
144,144,16,0,0.37,16.7,0.0.,-0.2,0:00
145,145,16,0,0.37,16.7,0.0.,-0.2,0:00
146,146,16,0,0.37,16.7,0.0.,0,0:00
147,147,16,0,0.28,16.7,0.0.,0,0:00
148,148,16,0,0.28,16.7,0.0.,0,0:00
149,149,16,0,0.28,16.7,0.0.,0,0:00
150,150,16,0,0.28,16.7,0.0.,0,0
151,151,16,0,0.28,16.7,0.0.,0,0:00
152,152,16,0,0.28,16.7,0.0.,0,0:00
153,153,16,0,0.28,16.7,0.0.,0,0:00
154,154,16,0,0.28,16.7,0.0.,0,0:00
155,155,16,0,0.28,16.7,0.0.,0,0:00
156,156,16,0,0.28,16.7,0.0.,0,0:00
157,157,16,0,0.28,16.7,0.0.,0,0:00
158,158,16,0,0.23,16.7,0.0.,0,0:00
159,159,16,0,0.23,16.7,0.0.,0,0:00
160,160,16,0,0.23,16.7,0.0.,0,0:00
161,161,16,0,0.23,16.7,0.0.,0,0:00
162,162,16,0,0.23,16.7,0.0.,0,0:00
163,163,16,0,0.23,16.7,0.0.,0,0:00
164,164,16,0,0.23,16.7,0.0.,0,900
165,165,16,0,0.23,16.7,0.0.,0,0:00
166,166,17,0,0.23,16.7,0.0.,0,100
167,167,17,0,0.29,16.7,0.0.,-0.1,100
168,168,17,0,0.28,16.7,0.0.,-0.1,100
169,169,17,0,0.28,16.7,0.0.,-0.1,100
170,170,17,0,0.28,16.7,0.0.,-0.1,0:00
171,171,17,0,0.28,16.7,0.0.,-0.1,0:00
172,172,17,0,0.28,16.7,0.0.,-0.1,0:00
173,173,17,0,0.28,16.7,0.0.,-0.1,0:00
174,174,17,0,0.28,16.7,0.0.,-0.1,0:00
175,175,17,0,0.28,16.7,0.0.,-0.1,0:00
176,176,16,0,0.28,16.7,0.0.,-0.1,100
177,177,16,0,0.28,16.7,0.0.,-0.1,0:00
178,178,16,0,0.23,16.7,0.0.,-0.1,100
179,179,16,0,0.23,16.7,0.0.,-0.1,100
180,180,16,0,0.23,16.7,0.0.,-0.1,100
181,181,16,0,0.23,16.7,0.0.,-0.1,100
182,182,16,0,0.23,16.7,0,0,0:00
183,183,16,0,0.23,16.7,0,0,0:00
184,184,16,0,0.23,16.7,0,0,100
185,185,16,0,0.23,16.7,0,0,0:00
186,186,16,0,0.23,16.7,0,0,0:00
187,187,16,0,0.23,16.7,0,0,0:00
188,188,16,0,0.28,16.7,0,0,0:00
189,189,16,0,0.28,16.7,0,0,0:00
190,190,16,0,0.28,16.7,0,0,0:00
191,191,16,0,0.28,16.7,0,0,0:00
192,192,16,0,0.28,16.7,0,0,0:00
193,193,16,0,0.28,16.7,0,0,0:00
194,194,16,0,0.28,16.7,0,0,0:00
195,195,16,0,0.28,16.7,0,0,0:00
196,196,16,0,0.28,16.7,0,0,0:00
197,197,16,0,0.28,16.7,0,0,0:00
198,198,16,0,0.28,16.7,0,0,0:00
199,199,16,0,0.28,16.7,0,0,0:00
200,200,16,0,0.28,16.7,0,0,0:00
201,201,16,0,0.28,16.7,0,0,0:00
202,202,16,0,0.28,16.7,0,0,0:00
203,203,16,0,0.28,16.7,0,0,0:00
204,204,16,0,0.28,16.7,0,0,0:00
205,205,16,0,0.28,16.7,0,0,0:00
206,206,16,0,0.28,16.7,0,0,0:00
207,207,16,0,0.28,16.7,0,0,0:00
208,208,16,0,0.28,16.7,0,0,0:00
209,209,16,0,0.28,16.7,0,0,0:00
210,210,16,0,0.28,16.7,0,0,0:00
211,211,16,0,0.28,16.7,0,0,0:00
212,212,16,0,0.28,16.7,0,0,0:00
213,213,16,0,0.28,16.7,0,0,0:00
214,214,16,0,0.28,16.7,0,-0.1,0:00
215,215,16,0,0.28,16.7,0,-0.1,0:00
216,216,16,0,0.28,16.7,0,-0.1,0:00
217,217,16,0,0.28,16.7,0,-0.1,0:00
218,218,17,0,0.28,16.7,0,-0.1,0:00
219,219,17,0,0.28,16.7,0,-0.1,0:00
220,220,17,0,0.28,16.7,0,-0.1,0:00
221,221,17,0,0.37,16.7,0,-0.1,0:00
222,222,17,0,0.37,16.7,0,-0.1,0:00
223,223,17,0,0.37,16.7,0,-0.1,0:00
224,224,17,0,0.37,16.7,0,-0.1,0:00
225,225,16,0,0.37,16.7,0,0,0:00
226,226,16,0,0.37,16.7,0,0,0:00
227,227,16,0,4.64,16.6,0,0,0:00
228,228,16,0,4.84,16.6,0,0,0:01
229,229,16,0,4.64,16.6,0,0,0:01
230,230,16,0,4.64,16.6,0,0,0:01
231,231,16,0,4.64,16.6,0,0,0:01
232,232,16,0,4.84,16.6,0,0,0:01
233,233,16,0,4.84,16.6,0,0,0:01
234,234,16,0,4.84,16.6,0,0,0:01
235,235,13,0,4.84,16.6,0,0,0:01
236,236,13,0,4.84,16.6,0,0,0:01
237,237,13,0,9.9,16.6,0,0,0:01
238,238,13,0,9.9,15.9,0,0,0:01
